date,id_produit,nom_produit,type_produit,type_operation,type_sortie,quantite,unite,id_lot,id_arrivage,id_fournisseur,nom_fournisseur,date_expiration,stock_theorique,temperature_stockage
2022-01-08,7,Beurre,Aliment,SORTIE,CONSOMMATION,2.72,kg,24,24,7,Laiterie Régionale,2022-02-05,32.28,5.6
2022-01-08,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,6.17,kg,19,19,8,Boucherie Centrale,2022-01-09,22.449999999999996,4.8
2022-01-08,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,24.72,kg,25,25,10,Maraîcher Local,2022-01-17,185.28,3.5
2022-01-08,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,15.31,kg,26,26,10,Maraîcher Local,2022-01-17,159.69,5.3
2022-01-08,11,Oeufs,Aliment,SORTIE,CONSOMMATION,55.07,unité,27,27,11,Ferme Avicole,2022-01-31,504.93,7.7
2022-01-09,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,7.68,kg,20,20,1,Volailles Dupont,2022-01-10,22.32,6.1
2022-01-09,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,29,29,2,Poissonnerie Martin,2022-01-09,0.0,2.7
2022-01-09,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,31,31,2,Poissonnerie Martin,2022-01-11,20.0,6.6
2022-01-09,3,Pain frais,Aliment,SORTIE,DESTRUCTION,40.0,kg,30,30,3,Boulangerie Moderne,2022-01-09,0.0,4.0
2022-01-09,3,Pain frais,Aliment,ENTREE,,40.0,kg,32,32,3,Boulangerie Moderne,2022-01-11,40.0,4.6
2022-01-09,4,Lait entier,Aliment,SORTIE,CONSOMMATION,25.22,L,17,17,7,Laiterie Régionale,2022-01-12,56.46000000000001,4.7
2022-01-09,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,6.89,kg,23,23,7,Laiterie Régionale,2022-01-20,68.99,7.7
2022-01-09,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,4.06,kg,18,18,6,Fromagerie du Mont,2022-01-13,13.02,7.3
2022-01-09,6,Fromage frais,Aliment,ENTREE,,21.0,kg,33,33,6,Fromagerie du Mont,2022-01-15,34.019999999999996,7.8
2022-01-09,7,Beurre,Aliment,SORTIE,CONSOMMATION,4.05,kg,24,24,7,Laiterie Régionale,2022-02-05,28.23,6.6
2022-01-09,8,Viande de boeuf,Aliment,SORTIE,DESTRUCTION,22.449999999999996,kg,19,19,8,Boucherie Centrale,2022-01-09,0.0,5.0
2022-01-09,8,Viande de boeuf,Aliment,ENTREE,,40.0,kg,34,34,8,Boucherie Centrale,2022-01-12,40.0,7.2
2022-01-09,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,18.02,kg,25,25,10,Maraîcher Local,2022-01-17,167.26,3.8
2022-01-09,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,16.71,kg,26,26,10,Maraîcher Local,2022-01-17,142.98,5.8
2022-01-09,11,Oeufs,Aliment,SORTIE,CONSOMMATION,66.84,unité,27,27,11,Ferme Avicole,2022-01-31,438.09000000000003,5.7
2022-01-10,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,3.7200000000000006,kg,20,20,1,Volailles Dupont,2022-01-10,18.6,2.9
2022-01-10,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,12.64,kg,28,28,1,Volailles Dupont,2022-01-11,5.960000000000001,6.6
2022-01-10,1,Poulet frais,Aliment,ENTREE,,24.04,kg,35,35,1,Volailles Dupont,2022-01-12,30.0,5.6
2022-01-10,2,Poisson blanc,Aliment,SORTIE,CONSOMMATION,7.93,kg,31,31,2,Poissonnerie Martin,2022-01-11,12.07,4.9
2022-01-10,3,Pain frais,Aliment,SORTIE,CONSOMMATION,18.54,kg,32,32,3,Boulangerie Moderne,2022-01-11,21.46,2.7
2022-01-10,4,Lait entier,Aliment,SORTIE,CONSOMMATION,40.02,L,17,17,7,Laiterie Régionale,2022-01-12,16.440000000000005,4.2
2022-01-10,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,11.14,kg,23,23,7,Laiterie Régionale,2022-01-20,57.849999999999994,7.9
2022-01-10,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,5.47,kg,18,18,6,Fromagerie du Mont,2022-01-13,28.55,6.8
2022-01-10,7,Beurre,Aliment,SORTIE,CONSOMMATION,3.7,kg,24,24,7,Laiterie Régionale,2022-02-05,24.53,3.4
2022-01-10,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,10.04,kg,34,34,8,Boucherie Centrale,2022-01-12,29.96,3.4
2022-01-10,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,32.13,kg,25,25,10,Maraîcher Local,2022-01-17,135.13,5.4
2022-01-10,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,18.2,kg,26,26,10,Maraîcher Local,2022-01-17,124.77999999999999,2.5
2022-01-10,11,Oeufs,Aliment,SORTIE,CONSOMMATION,78.44,unité,27,27,11,Ferme Avicole,2022-01-31,359.65000000000003,6.4
2022-01-11,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,5.960000000000001,kg,28,28,1,Volailles Dupont,2022-01-11,24.04,6.9
2022-01-11,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,11.24,kg,35,35,1,Volailles Dupont,2022-01-12,12.799999999999999,7.9
2022-01-11,1,Poulet frais,Aliment,ENTREE,,17.2,kg,36,36,1,Volailles Dupont,2022-01-13,30.0,2.8
2022-01-11,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,12.07,kg,31,31,2,Poissonnerie Martin,2022-01-11,0.0,4.9
2022-01-11,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,37,37,2,Poissonnerie Martin,2022-01-12,20.0,3.6
2022-01-11,3,Pain frais,Aliment,SORTIE,DESTRUCTION,21.46,kg,32,32,3,Boulangerie Moderne,2022-01-11,0.0,7.2
2022-01-11,3,Pain frais,Aliment,ENTREE,,40.0,kg,38,38,3,Boulangerie Moderne,2022-01-13,40.0,7.8
2022-01-11,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,10.84,kg,23,23,7,Laiterie Régionale,2022-01-20,47.00999999999999,7.6
2022-01-11,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,7.18,kg,18,18,6,Fromagerie du Mont,2022-01-13,21.37,6.5
2022-01-11,7,Beurre,Aliment,SORTIE,CONSOMMATION,5.56,kg,24,24,7,Laiterie Régionale,2022-02-05,18.970000000000002,6.1
2022-01-11,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,9.86,kg,34,34,8,Boucherie Centrale,2022-01-12,20.1,6.3
2022-01-11,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,30.36,kg,25,25,10,Maraîcher Local,2022-01-17,104.77,4.4
2022-01-11,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,20.9,kg,26,26,10,Maraîcher Local,2022-01-17,103.88,6.0
2022-01-11,11,Oeufs,Aliment,SORTIE,CONSOMMATION,63.35,unité,27,27,11,Ferme Avicole,2022-01-31,296.3,4.2
2022-01-12,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,12.799999999999999,kg,35,35,1,Volailles Dupont,2022-01-12,17.200000000000003,7.4
2022-01-12,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,13.86,kg,36,36,1,Volailles Dupont,2022-01-13,3.34,4.7
2022-01-12,1,Poulet frais,Aliment,ENTREE,,26.66,kg,39,39,1,Volailles Dupont,2022-01-14,30.0,3.3
2022-01-12,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,37,37,2,Poissonnerie Martin,2022-01-12,0.0,4.0
2022-01-12,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,40,40,2,Poissonnerie Martin,2022-01-13,20.0,5.5
2022-01-12,3,Pain frais,Aliment,SORTIE,CONSOMMATION,21.85,kg,38,38,3,Boulangerie Moderne,2022-01-13,18.15,2.0
2022-01-12,3,Pain frais,Aliment,ENTREE,,21.85,kg,41,41,3,Boulangerie Moderne,2022-01-13,40.0,3.4
2022-01-12,4,Lait entier,Aliment,SORTIE,DESTRUCTION,16.440000000000005,L,17,17,7,Laiterie Régionale,2022-01-12,0.0,7.4
2022-01-12,4,Lait entier,Aliment,ENTREE,,105.0,L,42,42,7,Laiterie Régionale,2022-01-18,105.0,2.4
2022-01-12,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,10.38,kg,23,23,7,Laiterie Régionale,2022-01-20,36.62999999999999,3.4
2022-01-12,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,0.3700000000000001,kg,18,18,6,Fromagerie du Mont,2022-01-13,21.0,6.0
2022-01-12,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,7.659999999999999,kg,33,33,6,Fromagerie du Mont,2022-01-15,13.34,3.3
2022-01-12,6,Fromage frais,Aliment,ENTREE,,21.0,kg,43,43,6,Fromagerie du Mont,2022-01-17,34.34,6.3
2022-01-12,7,Beurre,Aliment,SORTIE,CONSOMMATION,5.06,kg,24,24,7,Laiterie Régionale,2022-02-05,13.910000000000004,7.3
2022-01-12,8,Viande de boeuf,Aliment,SORTIE,DESTRUCTION,20.1,kg,34,34,8,Boucherie Centrale,2022-01-12,0.0,5.5
2022-01-12,8,Viande de boeuf,Aliment,ENTREE,,40.0,kg,44,44,8,Boucherie Centrale,2022-01-15,40.0,6.7
2022-01-12,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,25.22,kg,25,25,10,Maraîcher Local,2022-01-17,79.55,6.8
2022-01-12,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,25.96,kg,26,26,10,Maraîcher Local,2022-01-17,77.91999999999999,3.1
2022-01-12,11,Oeufs,Aliment,SORTIE,CONSOMMATION,60.18,unité,27,27,11,Ferme Avicole,2022-01-31,236.12,2.6
2022-01-13,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,3.34,kg,36,36,1,Volailles Dupont,2022-01-13,26.66,4.6
2022-01-13,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,11.16,kg,39,39,1,Volailles Dupont,2022-01-14,15.5,4.5
2022-01-13,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,40,40,2,Poissonnerie Martin,2022-01-13,0.0,4.8
2022-01-13,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,45,45,2,Poissonnerie Martin,2022-01-14,20.0,6.0
2022-01-13,3,Pain frais,Aliment,SORTIE,DESTRUCTION,18.15,kg,38,38,3,Boulangerie Moderne,2022-01-13,21.85,7.9
2022-01-13,3,Pain frais,Aliment,SORTIE,DESTRUCTION,21.85,kg,41,41,3,Boulangerie Moderne,2022-01-13,0.0,2.6
2022-01-13,3,Pain frais,Aliment,ENTREE,,40.0,kg,46,46,3,Boulangerie Moderne,2022-01-15,40.0,6.4
2022-01-13,4,Lait entier,Aliment,SORTIE,CONSOMMATION,40.19,L,42,42,7,Laiterie Régionale,2022-01-18,64.81,6.8
2022-01-13,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,12.76,kg,23,23,7,Laiterie Régionale,2022-01-20,23.86999999999999,2.7
2022-01-13,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,6.85,kg,33,33,6,Fromagerie du Mont,2022-01-15,27.490000000000002,3.1
2022-01-13,7,Beurre,Aliment,SORTIE,CONSOMMATION,3.82,kg,24,24,7,Laiterie Régionale,2022-02-05,10.090000000000003,5.2
2022-01-13,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,8.97,kg,44,44,8,Boucherie Centrale,2022-01-15,31.03,2.8
2022-01-13,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,27.18,kg,25,25,10,Maraîcher Local,2022-01-17,52.37,3.1
2022-01-13,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,20.93,kg,26,26,10,Maraîcher Local,2022-01-17,56.98999999999999,4.8
2022-01-13,11,Oeufs,Aliment,SORTIE,CONSOMMATION,95.03,unité,27,27,11,Ferme Avicole,2022-01-31,141.09,7.2
2022-01-14,1,Poulet frais,Aliment,SORTIE,DESTRUCTION,15.5,kg,39,39,1,Volailles Dupont,2022-01-14,0.0,2.5
2022-01-14,1,Poulet frais,Aliment,ENTREE,,30.0,kg,47,47,1,Volailles Dupont,2022-01-16,30.0,2.3
2022-01-14,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,45,45,2,Poissonnerie Martin,2022-01-14,0.0,8.0
2022-01-14,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,48,48,2,Poissonnerie Martin,2022-01-15,20.0,7.8
2022-01-14,3,Pain frais,Aliment,SORTIE,CONSOMMATION,19.68,kg,46,46,3,Boulangerie Moderne,2022-01-15,20.32,7.6
2022-01-14,4,Lait entier,Aliment,SORTIE,CONSOMMATION,30.29,L,42,42,7,Laiterie Régionale,2022-01-18,34.52,7.1
2022-01-14,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,12.7,kg,23,23,7,Laiterie Régionale,2022-01-20,11.169999999999991,3.0
2022-01-14,5,Yaourt nature,Aliment,ENTREE,,84.0,kg,49,49,7,Laiterie Régionale,2022-01-27,95.16999999999999,4.9
2022-01-14,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,5.44,kg,33,33,6,Fromagerie du Mont,2022-01-15,22.05,7.2
2022-01-14,7,Beurre,Aliment,SORTIE,CONSOMMATION,5.86,kg,24,24,7,Laiterie Régionale,2022-02-05,4.230000000000003,7.4
2022-01-14,7,Beurre,Aliment,ENTREE,,35.0,kg,50,50,7,Laiterie Régionale,2022-02-05,39.230000000000004,4.3
2022-01-14,8,Viande de boeuf,Aliment,SORTIE,CONSOMMATION,11.78,kg,44,44,8,Boucherie Centrale,2022-01-15,19.25,7.9
2022-01-14,9,Légumes frais,Aliment,SORTIE,CONSOMMATION,34.98,kg,25,25,10,Maraîcher Local,2022-01-17,17.39,3.6
2022-01-14,9,Légumes frais,Aliment,ENTREE,,210.0,kg,51,51,10,Maraîcher Local,2022-01-22,227.39,3.7
2022-01-14,10,Fruits frais,Aliment,SORTIE,CONSOMMATION,22.44,kg,26,26,10,Maraîcher Local,2022-01-17,34.54999999999998,6.2
2022-01-14,10,Fruits frais,Aliment,ENTREE,,175.0,kg,52,52,10,Maraîcher Local,2022-01-24,209.54999999999998,8.0
2022-01-14,11,Oeufs,Aliment,SORTIE,CONSOMMATION,60.56,unité,27,27,11,Ferme Avicole,2022-01-31,80.53,5.3
2022-01-14,11,Oeufs,Aliment,ENTREE,,560.0,unité,53,53,11,Ferme Avicole,2022-02-10,640.53,2.9
2022-01-14,12,Riz,Aliment,ENTREE,,210.0,kg,54,54,14,Épicerie Grossiste,2022-09-26,210.0,3.3
2022-01-14,13,Pâtes,Aliment,ENTREE,,168.0,kg,55,55,14,Épicerie Grossiste,2022-07-27,168.0,5.5
2022-01-14,14,Huile végétale,Aliment,ENTREE,,70.0,L,56,56,14,Épicerie Grossiste,2022-11-28,70.0,2.4
2022-01-14,15,Farine,Aliment,ENTREE,,112.0,kg,57,57,15,Minoterie Régionale,2022-05-24,112.0,2.3
2022-01-14,16,Détergent sol,Entretien,ENTREE,,100.0,L,58,58,18,Hygiène Pro,2023-11-09,100.0,
2022-01-14,17,Désinfectant,Entretien,ENTREE,,120.0,L,59,59,18,Hygiène Pro,2023-09-15,120.0,
2022-01-14,18,Savon liquide,Entretien,ENTREE,,150.0,L,60,60,18,Hygiène Pro,2023-09-28,150.0,
2022-01-15,1,Poulet frais,Aliment,SORTIE,CONSOMMATION,9.58,kg,47,47,1,Volailles Dupont,2022-01-16,20.42,7.5
2022-01-15,2,Poisson blanc,Aliment,SORTIE,DESTRUCTION,20.0,kg,48,48,2,Poissonnerie Martin,2022-01-15,0.0,5.2
2022-01-15,2,Poisson blanc,Aliment,ENTREE,,20.0,kg,61,61,2,Poissonnerie Martin,2022-01-16,20.0,7.8
2022-01-15,3,Pain frais,Aliment,SORTIE,DESTRUCTION,20.32,kg,46,46,3,Boulangerie Moderne,2022-01-15,0.0,2.5
2022-01-15,3,Pain frais,Aliment,ENTREE,,40.0,kg,62,62,3,Boulangerie Moderne,2022-01-16,40.0,2.4
2022-01-15,4,Lait entier,Aliment,SORTIE,CONSOMMATION,25.68,L,42,42,7,Laiterie Régionale,2022-01-18,8.840000000000003,2.4
2022-01-15,4,Lait entier,Aliment,ENTREE,,105.0,L,63,63,7,Laiterie Régionale,2022-01-20,113.84,4.4
2022-01-15,5,Yaourt nature,Aliment,SORTIE,CONSOMMATION,9.87,kg,23,23,7,Laiterie Régionale,2022-01-20,85.3,7.6
2022-01-15,6,Fromage frais,Aliment,SORTIE,DESTRUCTION,1.0499999999999998,kg,33,33,6,Fromagerie du Mont,2022-01-15,21.0,5.4
2022-01-15,6,Fromage frais,Aliment,SORTIE,CONSOMMATION,5.11,kg,43,43,6,Fromagerie du Mont,2022-01-17,15.89,5.5
2022-01-15,7,Beurre,Aliment,SORTIE,CONSOMMATION,3.48,kg,24,24,7,Laiterie Régionale,2022-02-05,35.75,2.2
